u,g,r,i,z,class,z1,zerr,u-g,g-r,r-i,i-z,class_encoded
15.89627,15.53496,15.82642,16.05877,16.26084,STAR,0.0001859286,3.625329e-06,0.3613099999999996,-0.2914600000000007,-0.2323499999999985,-0.20207000000000264,2
18.34856,16.24105,15.18352,14.6416,14.18819,GALAXY,0.04036999,1.548576e-05,2.1075099999999978,1.0575300000000016,0.5419199999999993,0.45340999999999987,0
17.90361,16.86369,16.03783,15.62608,15.3802,GALAXY,0.04563642,6.071336e-06,1.0399200000000022,0.8258599999999987,0.4117499999999996,0.24587999999999965,0
18.9568,17.99742,17.69374,17.58071,17.53719,STAR,-0.0008687571,1.11178e-05,0.9593799999999995,0.3036800000000035,0.11302999999999841,0.04352000000000089,2
16.34888,15.26206,14.87813,14.78924,14.80191,STAR,2.673478e-05,8.949411e-06,1.0868200000000012,0.38392999999999944,0.08889000000000102,-0.012669999999999959,2
19.33234,18.82686,18.69986,18.62587,18.6682,STAR,-7.521935e-06,9.458559e-05,0.5054799999999986,0.1269999999999989,0.073990000000002,-0.04232999999999976,2
19.11889,18.21148,17.89629,17.79405,17.76671,STAR,-0.0001595958,1.352237e-05,0.9074099999999987,0.3151900000000012,0.10224000000000188,0.02733999999999881,2
17.67711,16.1319,15.40913,15.02027,14.76022,GALAXY,0.0640848,2.149761e-05,1.5452099999999973,0.7227700000000024,0.3888599999999993,0.26004999999999967,0
19.47249,17.93974,17.07227,16.6126,16.30013,GALAXY,0.1112816,2.050327e-05,1.53275,0.8674700000000009,0.45966999999999913,0.31247000000000114,0
18.22337,17.88625,17.87385,17.89589,17.86052,QSO,0.711513,0.0001102146,0.33711999999999875,0.012399999999999523,-0.022040000000000504,0.035370000000000346,1
18.9125,16.8935,15.89878,15.41627,15.07345,GALAXY,0.06399176,1.08993e-05,2.019000000000002,0.9947199999999992,0.48250999999999955,0.34282000000000146,0
19.51302,17.55949,16.4793,16.02834,15.68819,GALAXY,0.1408326,2.021309e-05,1.9535300000000007,1.0801900000000018,0.4509599999999985,0.3401499999999995,0
19.28052,17.98687,17.34525,17.02749,16.92979,GALAXY,0.03590161,4.231251e-05,1.2936499999999995,0.6416199999999996,0.3177599999999998,0.09769999999999968,0
19.27611,17.96233,17.2263,16.80963,16.51131,GALAXY,0.08968166,9.106674e-06,1.3137799999999977,0.7360300000000031,0.4166699999999999,0.2983199999999968,0
19.47363,18.3535,17.92342,17.65769,17.46869,GALAXY,0.0596149,8.778421e-06,1.1201299999999996,0.43008000000000024,0.26573000000000135,0.18900000000000006,0
18.46798,16.65972,15.78551,15.3595,15.01624,GALAXY,0.06467084,1.364719e-05,1.8082600000000006,0.8742099999999997,0.4260099999999998,0.3432600000000008,0
19.3879,17.46971,16.51404,16.08977,15.7499,GALAXY,0.09623193,1.567873e-05,1.9181899999999992,0.9556699999999978,0.4242699999999999,0.3398700000000012,0
